================ Training Loss (Fri Apr 29 21:48:47 2022) ================
(epoch: 1, iters: 80, time: 0.045, data: 0.049) loss: 3.444 
(epoch: 1, iters: 160, time: 0.044, data: 0.049) loss: 3.360 
(epoch: 1, iters: 240, time: 0.044, data: 0.058) loss: 3.326 
(epoch: 1, iters: 320, time: 0.050, data: 0.050) loss: 3.219 
(epoch: 1, iters: 400, time: 0.050, data: 0.050) loss: 3.266 
(epoch: 1, iters: 480, time: 0.047, data: 0.050) loss: 3.228 
(epoch: 2, iters: 80, time: 0.050, data: 0.049) loss: 3.138 
(epoch: 2, iters: 160, time: 0.048, data: 0.076) loss: 2.978 
(epoch: 2, iters: 240, time: 0.046, data: 0.063) loss: 3.065 
(epoch: 2, iters: 320, time: 0.048, data: 0.051) loss: 3.295 
(epoch: 2, iters: 400, time: 0.050, data: 0.049) loss: 3.060 
(epoch: 2, iters: 480, time: 0.050, data: 0.050) loss: 2.886 
(epoch: 3, iters: 80, time: 0.049, data: 0.050) loss: 2.644 
(epoch: 3, iters: 160, time: 0.050, data: 0.051) loss: 2.412 
(epoch: 3, iters: 240, time: 0.048, data: 0.051) loss: 2.826 
(epoch: 3, iters: 320, time: 0.047, data: 0.052) loss: 2.635 
(epoch: 3, iters: 400, time: 0.047, data: 0.049) loss: 2.709 
(epoch: 3, iters: 480, time: 0.049, data: 0.060) loss: 2.477 
(epoch: 4, iters: 80, time: 0.051, data: 0.049) loss: 2.474 
(epoch: 4, iters: 160, time: 0.052, data: 0.049) loss: 2.974 
(epoch: 4, iters: 240, time: 0.049, data: 0.049) loss: 2.344 
(epoch: 4, iters: 320, time: 0.050, data: 0.049) loss: 2.836 
(epoch: 4, iters: 400, time: 0.049, data: 0.050) loss: 2.018 
(epoch: 4, iters: 480, time: 0.050, data: 0.050) loss: 2.630 
(epoch: 5, iters: 80, time: 0.050, data: 0.049) loss: 2.298 
(epoch: 5, iters: 160, time: 0.050, data: 0.049) loss: 2.235 
(epoch: 5, iters: 240, time: 0.049, data: 0.050) loss: 2.342 
(epoch: 5, iters: 320, time: 0.049, data: 0.050) loss: 2.086 
(epoch: 5, iters: 400, time: 0.049, data: 0.050) loss: 2.006 
(epoch: 5, iters: 480, time: 0.049, data: 0.053) loss: 2.133 
(epoch: 6, iters: 80, time: 0.050, data: 0.050) loss: 1.751 
(epoch: 6, iters: 160, time: 0.050, data: 0.050) loss: 2.108 
(epoch: 6, iters: 240, time: 0.048, data: 0.050) loss: 1.793 
