================ Training Loss (Fri Apr 29 04:51:10 2022) ================
(epoch: 1, iters: 80, time: 0.044, data: 0.050) loss: 3.395 
(epoch: 1, iters: 160, time: 0.050, data: 0.049) loss: 3.398 
(epoch: 1, iters: 240, time: 0.047, data: 0.050) loss: 3.404 
(epoch: 1, iters: 320, time: 0.047, data: 0.049) loss: 3.365 
(epoch: 1, iters: 400, time: 0.048, data: 0.050) loss: 3.438 
(epoch: 1, iters: 480, time: 0.047, data: 0.049) loss: 3.425 
(epoch: 2, iters: 80, time: 0.049, data: 0.049) loss: 3.382 
(epoch: 2, iters: 160, time: 0.049, data: 0.050) loss: 3.413 
(epoch: 2, iters: 240, time: 0.050, data: 0.049) loss: 3.390 
(epoch: 2, iters: 320, time: 0.050, data: 0.050) loss: 3.366 
(epoch: 2, iters: 400, time: 0.047, data: 0.050) loss: 3.466 
(epoch: 2, iters: 480, time: 0.050, data: 0.049) loss: 3.430 
(epoch: 3, iters: 80, time: 0.045, data: 0.049) loss: 3.439 
(epoch: 3, iters: 160, time: 0.045, data: 0.049) loss: 3.405 
(epoch: 3, iters: 240, time: 0.046, data: 0.049) loss: 3.391 
(epoch: 3, iters: 320, time: 0.046, data: 0.049) loss: 3.355 
(epoch: 3, iters: 400, time: 0.046, data: 0.049) loss: 3.400 
(epoch: 3, iters: 480, time: 0.046, data: 0.049) loss: 3.362 
(epoch: 4, iters: 80, time: 0.045, data: 0.048) loss: 3.365 
(epoch: 4, iters: 160, time: 0.044, data: 0.049) loss: 3.350 
(epoch: 4, iters: 240, time: 0.049, data: 0.049) loss: 3.354 
(epoch: 4, iters: 320, time: 0.049, data: 0.052) loss: 3.235 
(epoch: 4, iters: 400, time: 0.048, data: 0.049) loss: 3.387 
(epoch: 4, iters: 480, time: 0.049, data: 0.052) loss: 3.331 
(epoch: 5, iters: 80, time: 0.047, data: 0.052) loss: 3.145 
(epoch: 5, iters: 160, time: 0.047, data: 0.049) loss: 3.308 
(epoch: 5, iters: 240, time: 0.045, data: 0.049) loss: 3.288 
(epoch: 5, iters: 320, time: 0.046, data: 0.048) loss: 3.267 
(epoch: 5, iters: 400, time: 0.048, data: 0.048) loss: 3.203 
(epoch: 5, iters: 480, time: 0.047, data: 0.050) loss: 3.085 
(epoch: 6, iters: 80, time: 0.046, data: 0.050) loss: 3.205 
(epoch: 6, iters: 160, time: 0.046, data: 0.050) loss: 2.996 
(epoch: 6, iters: 240, time: 0.048, data: 0.063) loss: 3.081 
